batch_train_samples,val_samples_seen,batch_train_loss,batch_val_acc,batch_val_loss,batch_lr,batch_train_acc,test_acc,lr,avg_test_loss,avg_train_loss,train_acc,epochs,Smoth_loss,Smooth_train,best_loos,diverge
512,30000,0.010663355,0.004866667,0.010422313,0.010057201,0.009765625,,,,,,,0.010422313,0.010663355,0.010422313,No
512,30000,0.010353525,0.0049,0.010422313,0.010114729,0.005859375,,,,,,,0.010422313,0.010647863,0.010422313,No
512,30000,0.010341267,0.004966667,0.010422263,0.010172586,0.005859375,,,,,,,0.010422311,0.010632533,0.010422311,No
512,30000,0.010350694,0.005,0.01042222,0.010230774,0.001953125,,,,,,,0.010422306,0.010618442,0.010422306,No
512,30000,0.010347255,0.004866667,0.010422221,0.010289295,0.005859375,,,,,,,0.010422302,0.010604882,0.010422302,No
512,30000,0.010346944,0.004966667,0.010422166,0.01034815,0.0078125,,,,,,,0.010422295,0.010591985,0.010422295,No
512,30000,0.010349894,0.004866667,0.010422118,0.010407343,0.0078125,,,,,,,0.010422286,0.010579881,0.010422286,No
512,30000,0.01034771,0.004933333,0.010422065,0.010466873,0.00390625,,,,,,,0.010422275,0.010568272,0.010422275,No
512,30000,0.010345493,0.004933333,0.010422057,0.010526745,0.001953125,,,,,,,0.010422264,0.010557133,0.010422264,No
512,30000,0.010351299,0.0049,0.010422069,0.010586959,0.00390625,,,,,,,0.010422255,0.010546841,0.010422255,No
512,30000,0.010349925,0.0048,0.010421998,0.010647517,0.01171875,,,,,,,0.010422242,0.010536996,0.010422242,No
512,30000,0.010350313,0.004833333,0.010421952,0.010708421,0.001953125,,,,,,,0.010422227,0.010527662,0.010422227,No
512,30000,0.010352624,0.004933333,0.010421971,0.010769674,0,,,,,,,0.010422214,0.01051891,0.010422214,No
512,30000,0.010351931,0.0049,0.010421889,0.010831278,0.0078125,,,,,,,0.010422198,0.010510561,0.010422198,No
512,30000,0.010344573,0.004766667,0.010421882,0.010893234,0.00390625,,,,,,,0.010422182,0.010502261,0.010422182,No
512,30000,0.010348653,0.004866667,0.010421801,0.010955544,0.00390625,,,,,,,0.010422163,0.010494581,0.010422163,No
512,30000,0.010346347,0.004833333,0.010421783,0.01101821,0.001953125,,,,,,,0.010422144,0.010487169,0.010422144,No
512,30000,0.010351943,0.004733333,0.010421714,0.011081235,0,,,,,,,0.010422123,0.010480408,0.010422123,No
512,30000,0.010347049,0.0047,0.010421645,0.011144621,0.0078125,,,,,,,0.010422099,0.01047374,0.010422099,No
512,30000,0.010356144,0.0048,0.010421639,0.011208369,0.00390625,,,,,,,0.010422076,0.01046786,0.010422076,No
512,30000,0.010352889,0.004666667,0.010421655,0.011272482,0.005859375,,,,,,,0.010422055,0.010462112,0.010422055,No
512,30000,0.010352888,0.004766667,0.010421598,0.011336961,0.00390625,,,,,,,0.010422032,0.01045665,0.010422032,No
512,30000,0.010347988,0.0048,0.010421562,0.01140181,0.005859375,,,,,,,0.010422008,0.010451217,0.010422008,No
512,30000,0.010352766,0.004833333,0.010421444,0.011467029,0.0078125,,,,,,,0.01042198,0.010446295,0.01042198,No
